,GID,Team,Spread,Over/Under
5399,201811250BRK,PHI,-3.5,223.0
5400,201811250DET,PHO,8.5,217.5
5401,201811250DET,DET,-8.5,217.5
5402,201811250LAL,LAL,-8.0,217.5
5403,201811250LAL,ORL,8.0,217.5
5404,201811250MEM,NYK,8.0,207.5
5405,201811250MEM,MEM,-8.0,207.5
5406,201811250POR,POR,-4.0,227.5
5407,201811250POR,LAC,4.0,227.5
5408,201811250SAC,UTA,-3.0,227.5
5409,201811250SAC,SAC,3.0,227.5
5410,201811250TOR,MIA,11.5,218.5
5411,201811250TOR,TOR,-11.5,218.5
5412,201811260CHI,SAS,-6.0,213.5
5413,201811260CHI,CHI,6.0,213.5
5414,201811260CHO,MIL,-4.5,234.5
5415,201811260CHO,CHO,4.5,234.5
5416,201811260CLE,CLE,7.0,216.5
5417,201811260CLE,MIN,-7.0,216.5
5418,201811260GSW,GSW,-7.5,214.5
5419,201811260GSW,ORL,7.5,214.5
5420,201811260NOP,BOS,-1.0,225.5
5421,201811260NOP,NOP,1.0,225.5
5422,201811260UTA,IND,5.0,204.0
5423,201811260UTA,UTA,-5.0,204.0
5424,201811260WAS,WAS,3.5,223.5
5425,201811260WAS,HOU,-3.5,223.5
5426,201811270DEN,DEN,-4.0,211.5
5427,201811270DEN,LAL,4.0,211.5
5428,201811270DET,NYK,7.0,220.5
5429,201811270DET,DET,-7.0,220.5
5430,201811270MEM,TOR,-4.5,205.0
5431,201811270MEM,MEM,4.5,205.0
5432,201811270MIA,ATL,7.0,221.0
5433,201811270MIA,MIA,-7.0,221.0
5434,201811270PHO,IND,-2.5,214.5
5435,201811270PHO,PHO,2.5,214.5
5436,201811280BRK,BRK,3.0,216.0
5437,201811280BRK,UTA,-3.0,216.0
5438,201811280CHO,ATL,12.5,233.0
5439,201811280CHO,CHO,-12.5,233.0
5440,201811280HOU,HOU,-8.0,217.0
5441,201811280HOU,DAL,8.0,217.0
5442,201811280LAC,PHO,11.0,227.5
5443,201811280LAC,LAC,-11.0,227.5
5444,201811280MIL,CHI,14.0,227.5
5445,201811280MIL,MIL,-14.0,227.5
5446,201811280MIN,SAS,4.0,216.0
5447,201811280MIN,MIN,-4.0,216.0
5448,201811280NOP,WAS,6.5,241.5
5449,201811280NOP,NOP,-6.5,241.5
5450,201811280OKC,CLE,13.0,216.0
5451,201811280OKC,OKC,-13.0,216.0
5452,201811280PHI,NYK,12.0,227.5
5453,201811280PHI,PHI,-12.0,227.5
5454,201811280POR,ORL,7.5,216.5
5455,201811280POR,POR,-7.5,216.5
5456,201811290LAL,LAL,-4.5,215.5
5457,201811290LAL,IND,4.5,215.5
5458,201811290SAC,LAC,-3.0,235.0
5459,201811290SAC,SAC,3.0,235.0
5460,201811290TOR,TOR,-8.0,224.5
5461,201811290TOR,GSW,8.0,224.5
5462,201811300BOS,BOS,-13.5,209.0
5463,201811300BOS,CLE,13.5,209.0
5464,201811300BRK,BRK,0.0,212.0
5465,201811300BRK,MEM,-0.0,212.0
5466,201811300CHO,UTA,2.0,216.5
5467,201811300CHO,CHO,-2.0,216.5
5468,201811300DET,CHI,9.5,217.0
5469,201811300DET,DET,-9.5,217.0
5470,201811300LAL,LAL,-3.5,222.0
5471,201811300LAL,DAL,3.5,222.0
5472,201811300MIA,NOP,-3.0,229.5
5473,201811300MIA,MIA,3.0,229.5
5474,201811300OKC,OKC,-13.0,225.0
5475,201811300OKC,ATL,13.0,225.0
5476,201811300PHI,PHI,-7.5,235.0
5477,201811300PHI,WAS,7.5,235.0
5478,201811300PHO,PHO,1.0,217.0
5479,201811300PHO,ORL,-1.0,217.0
5480,201811300POR,DEN,2.5,214.5
5481,201811300POR,POR,-2.5,214.5
5482,201811300SAS,SAS,-1.0,217.0
5483,201811300SAS,HOU,1.0,217.0
5484,201812010CLE,TOR,-13.0,217.5
5485,201812010CLE,CLE,13.0,217.5
5486,201812010DET,GSW,-4.5,228.0
5487,201812010DET,DET,4.5,228.0
5488,201812010HOU,CHI,11.5,220.0
5489,201812010HOU,HOU,-11.5,220.0
5490,201812010MIN,BOS,2.0,213.5
5491,201812010MIN,MIN,-2.0,213.5
5492,201812010NYK,MIL,-8.0,231.0
5493,201812010NYK,NYK,8.0,231.0
5494,201812010SAC,IND,-0.0,222.5
5495,201812010SAC,SAC,0.0,222.5
5496,201812010WAS,WAS,-5.0,226.0
5497,201812010WAS,BRK,5.0,226.0
5498,201812020CHO,CHO,-3.0,235.0
5499,201812020CHO,NOP,3.0,235.0
5500,201812020DAL,LAC,-2.0,224.0
5501,201812020DAL,DAL,2.0,224.0
5502,201812020LAL,PHO,11.0,224.5
5503,201812020LAL,LAL,-11.0,224.5
5504,201812020MIA,UTA,-3.5,210.5
5505,201812020MIA,MIA,3.5,210.5
5506,201812020PHI,PHI,-6.5,212.5
5507,201812020PHI,MEM,6.5,212.5
5508,201812020SAS,POR,1.0,217.0
5509,201812020SAS,SAS,-1.0,217.0
5510,201812030ATL,ATL,10.5,232.0
5511,201812030ATL,GSW,-10.5,232.0
5512,201812030BRK,BRK,-6.0,212.0
5513,201812030BRK,CLE,6.0,212.0
5514,201812030DET,OKC,-1.5,220.5
5515,201812030DET,DET,1.5,220.5
5516,201812030MIN,HOU,-1.5,221.5
